BEGIN_DATA,
year,month,day,hour,capacity factor
2011,1,1,0,0.9763714459576296
2011,1,1,1,0.9353589391084518
2011,1,1,2,0.970036528752445
2011,1,1,3,0.9536605837697192
2011,1,1,4,0.9195771578286832
2011,1,1,5,0.9601351473695032
2011,1,1,6,0.994033964093389
2011,1,1,7,0.9798435313417998
2011,1,1,8,0.9985685081060912
2011,1,1,9,0.9617727870072268
2011,1,1,10,0.9169441184021224
2011,1,1,11,0.8706856936892358
2011,1,1,12,0.5729260864305709
2011,1,1,13,0.367408203601939
2011,1,1,14,0.2964588607341227
2011,1,1,15,0.1799005351145834
2011,1,1,16,0.1471121759790492
2011,1,1,17,0.033556627409782
2011,1,1,18,0.0148808771707128
2011,1,1,19,0.0051569866830721
2011,1,1,20,0.011877036140314
2011,1,1,21,0.0
2011,1,1,22,0.0
2011,1,1,23,0.0
2011,1,2,0,0.0
2011,1,2,1,0.0
2011,1,2,2,0.0
2011,1,2,3,0.0
2011,1,2,4,0.0
2011,1,2,5,0.0
2011,1,2,6,0.0
2011,1,2,7,0.0
2011,1,2,8,0.0
2011,1,2,9,0.0
2011,1,2,10,0.0
2011,1,2,11,0.0009483179230298
2011,1,2,12,0.0
2011,1,2,13,6.050387806398119e-05
2011,1,2,14,0.0
2011,1,2,15,0.0112250653758669
2011,1,2,16,0.0092538060358737
2011,1,2,17,0.0
2011,1,2,18,0.0058129550604616
2011,1,2,19,0.0311785282738514
2011,1,2,20,0.3561953253785901
2011,1,2,21,0.1632707694109207
2011,1,2,22,0.0679953752437373
2011,1,2,23,0.0151030838023187
2011,1,3,0,0.0653431389605553
2011,1,3,1,0.2506934789247599
2011,1,3,2,0.3325174414909832
2011,1,3,3,0.3381006985181263
2011,1,3,4,0.1694313518437237
2011,1,3,5,0.1170032791137198
2011,1,3,6,0.0622593368304405
2011,1,3,7,0.0278763843477462
2011,1,3,8,0.0155325332573364
2011,1,3,9,0.0
2011,1,3,10,0.0
2011,1,3,11,0.0019427046957465
2011,1,3,12,0.0728524112249205
2011,1,3,13,0.0654137039152536
2011,1,3,14,0.0009539760071553
2011,1,3,15,0.0548361303018245
2011,1,3,16,0.055209448870542
2011,1,3,17,0.0197413103050218
2011,1,3,18,0.0084714529796147
2011,1,3,19,0.0698465709227608
2011,1,3,20,0.0324671973889636
2011,1,3,21,0.030169978740768
2011,1,3,22,0.0388858026974581
2011,1,3,23,0.0069898838473968
2011,1,4,0,0.0012520059817644
2011,1,4,1,0.0010636375951126
2011,1,4,2,0.0
2011,1,4,3,0.3519290487870051
2011,1,4,4,0.9483516242928124
2011,1,4,5,0.9817086557513228
2011,1,4,6,0.9529177081069324
2011,1,4,7,0.9730632648242868
2011,1,4,8,0.9872812525121872
2011,1,4,9,0.997051479539519
2011,1,4,10,0.9948386307513672
2011,1,4,11,0.9886297165648966
2011,1,4,12,0.954725980674474
2011,1,4,13,0.9885316779447054
2011,1,4,14,0.9889010601655412
2011,1,4,15,0.9857180771991702
2011,1,4,16,0.989154875715422
2011,1,4,17,0.9921631269179552
2011,1,4,18,0.9979228180879698
2011,1,4,19,0.9960780865524737
2011,1,4,20,0.995050396984856
2011,1,4,21,0.997003306591037
2011,1,4,22,0.9947825387310236
2011,1,4,23,0.9982562760325964
2011,1,5,0,0.9902880065761815
2011,1,5,1,0.99109952292253
2011,1,5,2,0.9953070886144948
2011,1,5,3,0.9940610364002732
2011,1,5,4,0.9960067192213892
2011,1,5,5,0.9959600996939184
2011,1,5,6,0.9811221336422712
2011,1,5,7,0.9457645022585246
2011,1,5,8,0.8192343146187016
2011,1,5,9,0.8192892674636366
2011,1,5,10,0.5746152943116317
2011,1,5,11,0.4239734993882788
2011,1,5,12,0.525284258352674
2011,1,5,13,0.5792460986669881
2011,1,5,14,0.644117184670082
2011,1,5,15,0.3883597862134364
2011,1,5,16,0.1580250221708916
2011,1,5,17,0.1615523130544527
2011,1,5,18,0.3719419288865255
2011,1,5,19,0.3788658872214575
2011,1,5,20,0.4101136760836835
2011,1,5,21,0.2285996533152804
2011,1,5,22,0.1536891356545153
2011,1,5,23,0.3703456581834403
2011,1,6,0,0.2779615670936088
2011,1,6,1,0.2244055841259822
2011,1,6,2,0.2181678510753592
2011,1,6,3,0.0531370882506946
2011,1,6,4,0.0001329417191147
2011,1,6,5,0.0243824069254191
2011,1,6,6,0.2453932432633483
2011,1,6,7,0.1658787828547528
2011,1,6,8,0.2029327697604936
2011,1,6,9,0.4663431885772707
2011,1,6,10,0.4124869966789002
2011,1,6,11,0.2650505210689357
2011,1,6,12,0.1911039115483608
2011,1,6,13,0.0771209788186023
2011,1,6,14,0.0922862084839132
2011,1,6,15,0.1456211913114907
2011,1,6,16,0.2336581566832865
2011,1,6,17,0.2188743840231037
2011,1,6,18,0.0
2011,1,6,19,0.0027424135473515
2011,1,6,20,0.0709129350589378
2011,1,6,21,0.2145366300245651
2011,1,6,22,0.0854436530626789
2011,1,6,23,0.0913791681195448
2011,1,7,0,0.1005914209538611
2011,1,7,1,0.7503370811525526
2011,1,7,2,0.6339292460089827
2011,1,7,3,0.4675639267754719
2011,1,7,4,0.503664965130201
2011,1,7,5,0.3668151798318724
2011,1,7,6,0.3030147299862101
2011,1,7,7,0.1047594646446772
2011,1,7,8,0.1002378829228855
2011,1,7,9,0.0324321256401664
2011,1,7,10,0.068171253361784
2011,1,7,11,0.0217536237030466
2011,1,7,12,0.0868269833474354
2011,1,7,13,0.1521804185964654
2011,1,7,14,0.1788937359418578
2011,1,7,15,0.2553150667093003
2011,1,7,16,0.5456606326585993
2011,1,7,17,0.4103773215263306
2011,1,7,18,0.2303313126279989
2011,1,7,19,0.5145585668518526
2011,1,7,20,0.7155800866349272
2011,1,7,21,0.9221619595839808
2011,1,7,22,0.8311144740165188
2011,1,7,23,0.6107798940537672
2011,1,8,0,0.600384619231438
2011,1,8,1,0.917816520146706
2011,1,8,2,0.9369337462229838
2011,1,8,3,0.8781767076325924
2011,1,8,4,0.8716624907013152
2011,1,8,5,0.9998747385142148
2011,1,8,6,0.9988972241760338
2011,1,8,7,0.9810916772970264
2011,1,8,8,0.9958683352645272
2011,1,8,9,0.9524058898067796
2011,1,8,10,0.6274944139811681
2011,1,8,11,0.8315886052437005
2011,1,8,12,0.982288450593604
2011,1,8,13,0.9991366733915544
2011,1,8,14,1.0
2011,1,8,15,0.9985510349297074
2011,1,8,16,0.99683738880276
2011,1,8,17,0.9999730529226496
2011,1,8,18,0.9990474177936268
2011,1,8,19,0.925170416505348
2011,1,8,20,0.9914336942588488
2011,1,8,21,0.9712436497487924
2011,1,8,22,0.9521393328251788
2011,1,8,23,0.4735042222673236
2011,1,9,0,0.4581199501886774
2011,1,9,1,0.2583395482921958
2011,1,9,2,0.184042776312599
2011,1,9,3,0.5882914283503332
2011,1,9,4,0.4113586347117124
2011,1,9,5,0.3969057818688191
2011,1,9,6,0.669614066489059
2011,1,9,7,0.8226124427810996
2011,1,9,8,0.7946747256309274
2011,1,9,9,0.7448320573814704
2011,1,9,10,0.5418629495887491
2011,1,9,11,0.355047216499034
2011,1,9,12,0.2055168867701862
2011,1,9,13,0.1438627721478121
2011,1,9,14,0.1698200793975626
2011,1,9,15,0.0964800410578163
2011,1,9,16,0.0317560138886642
2011,1,9,17,0.081861823101034
2011,1,9,18,0.0688337513136545
2011,1,9,19,0.006782213806489
2011,1,9,20,0.1750349048864296
2011,1,9,21,0.4839000402005588
2011,1,9,22,0.2855369687330654
2011,1,9,23,0.1270599147742687
2011,1,10,0,0.0639157448081302
2011,1,10,1,0.034987545663566
2011,1,10,2,0.0538263154920185
2011,1,10,3,0.1795666228229885
2011,1,10,4,0.2453961421642257
2011,1,10,5,0.1789792763567487
2011,1,10,6,0.5142063964334939
2011,1,10,7,0.5333145796749871
2011,1,10,8,0.4051445234326347
2011,1,10,9,0.2415935068868496
2011,1,10,10,0.626125660310591
2011,1,10,11,0.4231432451789855
2011,1,10,12,0.3673124787640114
2011,1,10,13,0.4970013281981569
2011,1,10,14,0.7672546431082198
2011,1,10,15,0.985300809074591
2011,1,10,16,0.8385284483829599
2011,1,10,17,0.9091686476804608
2011,1,10,18,0.9237913984517332
2011,1,10,19,0.9980556299892293
2011,1,10,20,0.9987776838964674
2011,1,10,21,0.9985224879972736
2011,1,10,22,0.8936733524953437
2011,1,10,23,0.9684636487761956
2011,1,11,0,0.924377915214156
2011,1,11,1,0.7305325162045536
2011,1,11,2,0.9801565344975534
2011,1,11,3,0.9993188444140136
2011,1,11,4,0.6666666666666666
2011,1,11,5,0.987589686864956
2011,1,11,6,0.9877008226270472
2011,1,11,7,0.9972459555167243
2011,1,11,8,0.9922661255105076
2011,1,11,9,0.9964509921138848
2011,1,11,10,0.9892351076804192
2011,1,11,11,0.8460555211089716
2011,1,11,12,0.7561325384446143
2011,1,11,13,0.6894797028531987
2011,1,11,14,0.9281000792117268
2011,1,11,15,0.8963555686862411
2011,1,11,16,0.7010276915059402
2011,1,11,17,0.8252944659136247
2011,1,11,18,0.9097999133961628
2011,1,11,19,0.9109189342914962
2011,1,11,20,0.9239263668495736
2011,1,11,21,0.9837073589283362
2011,1,11,22,0.9991634361407112
2011,1,11,23,1.0
2011,1,12,0,0.9998693859643834
2011,1,12,1,0.9973784114261848
2011,1,12,2,0.9654498055396392
2011,1,12,3,0.92979196111888
2011,1,12,4,0.9095616154615276
2011,1,12,5,0.6227137511510549
2011,1,12,6,0.5862367870911102
2011,1,12,7,0.3451195613874557
2011,1,12,8,0.271659310182275
2011,1,12,9,0.1253725970614566
2011,1,12,10,0.0513719674223753
2011,1,12,11,0.0273309169717858
2011,1,12,12,0.1048927066102568
2011,1,12,13,0.261562525697435
2011,1,12,14,0.3603858665288193
2011,1,12,15,0.4826360626558973
2011,1,12,16,0.7772919806649708
2011,1,12,17,0.5749688023663109
2011,1,12,18,0.3313854035699312
2011,1,12,19,0.3383575170115127
2011,1,12,20,0.0793933799835016
2011,1,12,21,0.0116179861240358
2011,1,12,22,0.0
2011,1,12,23,0.0
