BEGIN_DATA,
year,month,day,hour,load
2011,1,8,11,7.849319257
2011,1,8,12,7.868636642
2011,1,8,13,7.714097565
2011,1,8,14,7.694780179999999
2011,1,8,15,7.578875871999999
2011,1,8,16,7.636828026
2011,1,8,17,7.598193257
2011,1,8,18,7.578875871999999
2011,1,8,19,7.752732334
2011,1,8,20,7.791367103
2011,1,8,21,7.945906181000001
2011,1,8,22,7.926588796
2011,1,8,23,7.926588796
2011,1,9,0,7.856762707
2011,1,9,1,8.167302278000001
2011,1,9,2,7.720901645
2011,1,9,3,7.682084199
2011,1,9,4,7.701492922000001
2011,1,9,5,7.720901645
2011,1,9,6,7.779127815
2011,1,9,7,7.837353984000001
2011,1,9,8,7.876171430999999
2011,1,9,9,7.9343976
2011,1,9,10,7.973215047
2011,1,9,11,7.992623770000001
2011,1,9,12,8.031441216000001
2011,1,9,13,7.992623770000001
2011,1,9,14,8.050849938999999
2011,1,9,15,8.031441216000001
2011,1,9,16,8.031441216000001
2011,1,9,17,8.012032493
2011,1,9,18,8.031441216000001
2011,1,9,19,7.992623770000001
2011,1,9,20,8.012032493
2011,1,9,21,8.089667386
2011,1,9,22,8.089667386
2011,1,9,23,8.089667386
2011,1,10,0,8.089711595
2011,1,10,1,8.089711595
2011,1,10,2,8.070491783000001
2011,1,10,3,8.070491783000001
2011,1,10,4,8.205030465
2011,1,10,5,8.166590841
2011,1,10,6,8.205030465
2011,1,10,7,8.205030465
2011,1,10,8,8.224250276000001
2011,1,10,9,8.166590841
2011,1,10,10,8.14737103
2011,1,10,11,8.089711595
2011,1,10,12,8.281909711
2011,1,10,13,8.108931406
2011,1,10,14,8.070491783000001
2011,1,10,15,7.993612536
2011,1,10,16,7.859073855
2011,1,10,17,7.897513478
2011,1,10,18,7.820634232000001
2011,1,10,19,7.955172913
2011,1,10,20,7.878293667
2011,1,10,21,7.897513478
2011,1,10,22,8.108931406
2011,1,10,23,8.14737103
2011,1,11,0,8.66785707
2011,1,11,1,8.422232231
2011,1,11,2,8.556209416
2011,1,11,3,8.489220823
2011,1,11,4,8.578538946999998
2011,1,11,5,8.645527539000001
2011,1,11,6,8.3999027
2011,1,11,7,8.377573169
2011,1,11,8,8.310584577
2011,1,11,9,8.265925515000001
2011,1,11,10,8.265925515000001
2011,1,11,11,8.288255046
2011,1,11,12,8.332914107
2011,1,11,13,8.332914107
2011,1,11,14,8.332914107
2011,1,11,15,8.332914107
2011,1,11,16,8.265925515000001
2011,1,11,17,8.288255046
2011,1,11,18,8.310584577
2011,1,11,19,8.377573169
2011,1,11,20,8.377573169
2011,1,11,21,8.355243638
2011,1,11,22,8.377573169
2011,1,11,23,8.3999027
2011,1,12,0,8.558448646
2011,1,12,1,8.490726151
2011,1,12,2,8.513300316
2011,1,12,3,8.355281161999999
2011,1,12,4,8.80676446
2011,1,12,5,8.671319471
2011,1,12,6,8.80676446
2011,1,12,7,8.829338625
2011,1,12,8,8.648745306
2011,1,12,9,8.671319471
2011,1,12,10,8.716467801
2011,1,12,11,8.513300316
2011,1,12,12,8.558448646
2011,1,12,13,8.423003656999999
2011,1,12,14,8.716467801
2011,1,12,15,8.535874481
2011,1,12,16,8.964783615
2011,1,12,17,8.964783615
2011,1,12,18,9.122802769
2011,1,12,19,8.829338625
2011,1,12,20,9.122802769
2011,1,12,21,8.80676446
2011,1,12,22,8.85191279
2011,1,12,23,8.423003656999999
2011,1,13,0,8.828940081
2011,1,13,1,8.898304542
2011,1,13,2,9.013911976
2011,1,13,3,9.083276437
2011,1,13,4,8.990790489000002
2011,1,13,5,9.337612792
2011,1,13,6,9.337612792
2011,1,13,7,8.944547516
2011,1,13,8,8.898304542
2011,1,13,9,9.06015495
2011,1,13,10,9.037033463
2011,1,13,11,8.875183054999999
2011,1,13,12,8.69021116
2011,1,13,13,8.643968187
2011,1,13,14,8.759575621
2011,1,13,15,8.759575621
2011,1,13,16,8.227781424000002
2011,1,13,17,8.227781424000002
2011,1,13,18,8.089052503
2011,1,13,19,8.227781424000002
2011,1,13,20,8.297145883999999
2011,1,13,21,8.366510345
2011,1,13,22,8.435874805
2011,1,13,23,8.158416963
2011,1,14,0,9.354632668
2011,1,14,1,9.216993855
2011,1,14,2,9.327104905
2011,1,14,3,9.106882806
2011,1,14,4,9.051827281
2011,1,14,5,9.024299518
2011,1,14,6,8.886660706
2011,1,14,7,8.721494131
2011,1,14,8,8.666438606
2011,1,14,9,8.473744269
2011,1,14,10,8.308577695
2011,1,14,11,8.418688743999999
2011,1,14,12,8.198466645
2011,1,14,13,8.225994407
2011,1,14,14,8.198466645
2011,1,14,15,8.088355595
2011,1,14,16,8.115883357
2011,1,14,17,8.308577695
2011,1,14,18,8.308577695
2011,1,14,19,8.391160981999999
2011,1,14,20,8.308577695
2011,1,14,21,8.528799794000001
2011,1,14,22,8.886660706
2011,1,14,23,9.134410568
2011,1,15,0,8.729266594
2011,1,15,1,8.903188494
2011,1,15,2,8.555344692999999
2011,1,15,3,8.754112579000001
2011,1,15,4,8.605036665
2011,1,15,5,8.455960750000001
2011,1,15,6,8.207500893
2011,1,15,7,8.182654907
2011,1,15,8,8.480806736
2011,1,15,9,8.282038850000001
2011,1,15,10,8.331730820999999
2011,1,15,11,8.257192864
2011,1,15,12,8.232346878000001
2011,1,15,13,8.033578992
2011,1,15,14,7.884503078
2011,1,15,15,8.10811695
2011,1,15,16,8.406268779
2011,1,15,17,8.406268779
2011,1,15,18,7.959041035
2011,1,15,19,7.884503078
2011,1,15,20,8.083270964
2011,1,15,21,8.132962935
2011,1,15,22,8.083270964
2011,1,15,23,7.710581177
2011,1,16,0,9.003296207
2011,1,16,1,9.127540967000002
2011,1,16,2,9.096479777
2011,1,16,3,8.972235017000001
2011,1,16,4,9.034357397
2011,1,16,5,8.879051447
2011,1,16,6,9.003296207
2011,1,16,7,9.096479777
2011,1,16,8,9.003296207
2011,1,16,9,8.195705264
2011,1,16,10,8.226766454
2011,1,16,11,8.195705264
2011,1,16,12,8.040399313
2011,1,16,13,7.698726222
2011,1,16,14,7.419175511000001
2011,1,16,15,7.1396248
2011,1,16,16,6.922196469
2011,1,16,17,7.357053131
2011,1,16,18,6.922196469
2011,1,16,19,7.10856361
2011,1,16,20,7.294930750000001
2011,1,16,21,7.357053131
2011,1,16,22,7.481297891
2011,1,16,23,7.23280837
2011,1,17,0,6.497511182999999
2011,1,17,1,6.39745136
2011,1,17,2,6.472496227
2011,1,17,3,6.497511182999999
2011,1,17,4,6.897750474
2011,1,17,5,6.872735518000001
2011,1,17,6,7.122885075
2011,1,17,7,7.373034631
2011,1,17,8,7.373034631
2011,1,17,9,7.448079498
2011,1,17,10,7.823303833
2011,1,17,11,8.048438434
2011,1,17,12,8.323602947
2011,1,17,13,8.398647814
2011,1,17,14,8.698827282
2011,1,17,15,8.923961883
2011,1,17,16,8.999006750000001
2011,1,17,17,9.099066572
2011,1,17,18,9.424260996
2011,1,17,19,9.449275952
2011,1,17,20,10.024619930000002
2011,1,17,21,10.14969471
2011,1,17,22,10.22473958
2011,1,17,23,10.19972462
2011,1,18,0,8.71933146
2011,1,18,1,8.801973014
2011,1,18,2,8.739991849
2011,1,18,3,8.636689905999999
2011,1,18,4,8.430086021
2011,1,18,5,8.409425632000001
2011,1,18,6,8.512727575000001
2011,1,18,7,8.347444466
2011,1,18,8,8.120180192
2011,1,18,9,7.996217861
2011,1,18,10,7.830934752999999
2011,1,18,11,7.996217861
2011,1,18,12,8.058199027
2011,1,18,13,8.078859415
2011,1,18,14,8.120180192
2011,1,18,15,8.078859415
2011,1,18,16,8.058199027
2011,1,18,17,8.182161358
2011,1,18,18,8.202821747
2011,1,18,19,8.326784078000001
2011,1,18,20,8.409425632000001
2011,1,18,21,8.409425632000001
2011,1,18,22,8.430086021
2011,1,18,23,8.678010683
2011,1,19,0,8.733117756
2011,1,19,1,8.268844469
2011,1,19,2,8.247741138
2011,1,19,3,8.247741138
2011,1,19,4,8.205534475
2011,1,19,5,8.268844469
2011,1,19,6,8.226637806000001
2011,1,19,7,8.2899478
2011,1,19,8,8.2899478
2011,1,19,9,8.690911093999999
2011,1,19,10,8.500981113
2011,1,19,11,8.690911093999999
2011,1,19,12,8.754221088
2011,1,19,13,8.416567788
2011,1,19,14,8.458774450000002
2011,1,19,15,8.458774450000002
2011,1,19,16,8.564291106
2011,1,19,17,8.564291106
2011,1,19,18,8.543187775
2011,1,19,19,8.522084444
2011,1,19,20,8.606497769
2011,1,19,21,8.437671119
2011,1,19,22,8.332154463
2011,1,19,23,8.353257794
2011,1,20,0,8.709896481
2011,1,20,1,8.574587457
2011,1,20,2,8.394175424
2011,1,20,3,8.439278432
2011,1,20,4,8.168660384
2011,1,20,5,8.168660384
2011,1,20,6,8.14610888
2011,1,20,7,8.010799855
2011,1,20,8,7.965696847
2011,1,20,9,8.14610888
2011,1,20,10,8.055902863
2011,1,20,11,7.943145343
2011,1,20,12,7.965696847
2011,1,20,13,8.055902863
2011,1,20,14,8.123557375999999
2011,1,20,15,8.101005872
2011,1,20,16,8.168660384
2011,1,20,17,8.123557375999999
2011,1,20,18,8.213763392
2011,1,20,19,8.303969408
2011,1,20,20,8.394175424
2011,1,20,21,8.529484448
2011,1,20,22,8.506932944
2011,1,20,23,8.439278432
2011,1,21,0,8.920055431000002
2011,1,21,1,8.895598462
2011,1,21,2,8.871141494
2011,1,21,3,8.724399682
2011,1,21,4,8.675485745
2011,1,21,5,8.602114839
2011,1,21,6,8.455373028
2011,1,21,7,8.577657871
2011,1,21,8,8.675485745
2011,1,21,9,8.528743934
2011,1,21,10,8.333088185000001
2011,1,21,11,8.161889405
2011,1,21,12,8.039604563
2011,1,21,13,7.941776688
2011,1,21,14,7.941776688
2011,1,21,15,7.941776688
2011,1,21,16,7.843948814000001
2011,1,21,17,7.843948814000001
2011,1,21,18,7.770577909
2011,1,21,19,8.308631217
2011,1,21,20,8.064061531
2011,1,21,21,8.479829997000001
2011,1,21,22,8.577657871
2011,1,21,23,8.553200902
2011,1,22,0,8.125245372
2011,1,22,1,8.372445836
2011,1,22,2,8.394918605
2011,1,22,3,8.574700761
2011,1,22,4,8.552227991
2011,1,22,5,8.21513645
2011,1,22,6,8.305027527
2011,1,22,7,8.260081989
2011,1,22,8,8.035354294
2011,1,22,9,8.012881525
2011,1,22,10,7.922990447
2011,1,22,11,8.012881525
2011,1,22,12,8.057827064
2011,1,22,13,8.057827064
2011,1,22,14,8.057827064
2011,1,22,15,8.349973066
2011,1,22,16,8.170190911
2011,1,22,17,8.664591838
2011,1,22,18,8.574700761
2011,1,22,19,8.799428455
2011,1,22,20,8.709537377
2011,1,22,21,8.709537377
2011,1,22,22,8.956737841
2011,1,22,23,8.979210611000001
2011,1,23,0,8.112639768
2011,1,23,1,7.964584764
2011,1,23,2,7.949000027
2011,1,23,3,7.964584764
2011,1,23,4,7.902245816
2011,1,23,5,8.206148191
2011,1,23,6,8.307448983
2011,1,23,7,8.899668997000001
2011,1,23,8,9.43734243
2011,1,23,9,9.54643559
2011,1,23,10,10.334544
2011,1,23,11,10.038304
2011,1,23,12,10.19912
2011,1,23,13,10.292224
2011,1,23,14,10.224512
2011,1,23,15,10.055232
2011,1,23,16,9.835168
2011,1,23,17,9.411968000000002
2011,1,23,18,9.285008
2011,1,23,19,9.064944
2011,1,23,20,9.048016
2011,1,23,21,8.980304
2011,1,23,22,8.751776
2011,1,23,23,8.540175999999999
2011,1,24,0,8.08312
2011,1,24,1,7.8292
2011,1,24,2,7.795344
2011,1,24,3,7.592207999999999
2011,1,24,4,7.668384
2011,1,24,5,7.693776
2011,1,24,6,7.1182240000000006
2011,1,24,7,7.930768
2011,1,24,8,8.455536
2011,1,24,9,7.964624
2011,1,24,10,7.507568
2011,1,24,11,7.846128
2011,1,24,12,7.820736
2011,1,24,13,7.676848
2011,1,24,14,7.668384
2011,1,24,15,7.778416
2011,1,24,16,7.70224
2011,1,24,17,7.439856
2011,1,24,18,7.592207999999999
2011,1,24,19,7.566816
2011,1,24,20,7.304432
2011,1,24,21,7.1182240000000006
2011,1,24,22,7.211328000000001
2011,1,24,23,7.253648
2011,1,25,0,7.06744
2011,1,25,1,7.033584
2011,1,25,2,7.169008
2011,1,25,3,7.253648
2011,1,25,4,7.312896
2011,1,25,5,7.516032
2011,1,25,6,8.269328
2011,1,25,7,8.853344
2011,1,25,8,9.555856
2011,1,25,9,9.166512
2011,1,25,10,9.234224
2011,1,25,11,9.174976
2011,1,25,12,9.064944
2011,1,25,13,9.0988
2011,1,25,14,9.538928
2011,1,25,15,9.327328
2011,1,25,16,9.530464
2011,1,25,17,9.378112
2011,1,25,18,9.234224
2011,1,25,19,9.208832
2011,1,25,20,9.191904
2011,1,25,21,9.208832
2011,1,25,22,9.022624
2011,1,25,23,8.861808000000002
2011,1,26,0,8.413216
2011,1,26,1,8.430144
2011,1,26,2,8.413216
2011,1,26,3,8.464
2011,1,26,4,8.523248
2011,1,26,5,8.50632
2011,1,26,6,8.768704
2011,1,26,7,9.35272
2011,1,26,8,10.300688
2011,1,26,9,10.461504
2011,1,26,10,10.461504
2011,1,26,11,10.503824000000002
2011,1,26,12,10.419184
2011,1,26,13,10.359936
2011,1,26,14,10.402256
2011,1,26,15,10.436112
2011,1,26,16,9.843632
2011,1,26,17,9.962128000000002
2011,1,26,18,10.089088
2011,1,26,19,10.190656
2011,1,26,20,10.11448
2011,1,26,21,9.919808000000002
2011,1,26,22,9.69128
2011,1,26,23,9.462752
2011,1,27,0,9.26808
2011,1,27,1,9.158048
2011,1,27,2,9.107264
2011,1,27,3,9.234224
2011,1,27,4,9.251152
2011,1,27,5,9.293472
2011,1,27,6,9.86056
2011,1,27,7,10.351472
2011,1,27,8,10.850848
2011,1,27,9,11.08784
2011,1,27,10,11.037056000000002
2011,1,27,11,10.986272
2011,1,27,12,10.7916
2011,1,27,13,10.774672
2011,1,27,14,10.740816
2011,1,27,15,10.943952
2011,1,27,16,10.83392
2011,1,27,17,10.563072
2011,1,27,18,10.70696
2011,1,27,19,10.605392
2011,1,27,20,10.740816
2011,1,27,21,10.469968
2011,1,27,22,10.351472
2011,1,27,23,10.249904
2011,1,28,0,9.699744
2011,1,28,1,9.598176
2011,1,28,2,9.428896000000002
